-1
39 53 1
114 177 1
170 241 1
319 420 1
332 368 1
332 398 1
34 83 1
36 64 1
105 189 1
340 357 1
340 366 1
33 143 1
130 158 1
163 238 1
168 294 1
283 303 1
66 150 1
101 180 1
171 233 1
194 291 1
226 341 1
296 317 1
298 302 1
56 158 1
28 94 1
138 188 1
175 234 1
202 310 1
209 311 1
219 307 1
338 401 1
8 58 1
343 401 1
345 406 1
340 434 1
21 144 1
209 329 1
289 340 1
296 313 1
300 418 1
4 74 1
74 188 1
305 416 1
326 449 1
22 77 1
38 126 1
49 127 1
85 183 1
168 245 1
337 398 1
32 129 1
70 185 1
146 168 1
164 272 1
249 303 1
34 139 1
198 299 1
267 345 1
292 334 1
308 386 1
324 445 1
326 444 1
348 442 1
99 185 1
33 118 1
49 96 1
111 178 1
160 205 1
218 307 1
300 415 1
345 351 1
0 118 1
73 169 1
190 233 1
230 320 1
258 337 1
281 322 1
291 323 1
37 100 1
141 162 1
165 272 1
264 333 1
309 374 1
78 183 1
170 288 1
175 253 1
239 334 1
264 307 1
310 413 1
315 378 1
44 86 1
33 98 1
168 254 1
274 310 1
297 325 1
16 117 1
171 280 1
227 341 1
246 337 1
159 201 1
41 76 1
157 248 1
212 309 1
258 314 1
313 414 1
1 107 1
254 314 1
328 433 1
338 408 1
168 216 1
185 260 1
267 316 1
345 362 1
347 428 1
139 183 1
12 56 1
33 62 1
150 285 1
253 302 1
301 399 1
303 423 1
9 95 1
48 145 1
44 141 1
42 149 1
71 198 1
160 220 1
163 205 1
197 240 1
198 265 1
255 345 1
35 148 1
330 444 1
343 364 1
321 378 1
171 274 1
191 250 1
194 246 1
38 102 1
273 342 1
314 390 1
186 248 1
75 181 1
153 286 1
155 279 1
299 313 1
308 371 1
327 430 1
66 159 1
42 129 1
165 245 1
171 217 1
196 289 1
243 316 1
305 402 1
24 142 1
71 167 1
181 228 1
182 286 1
267 304 1
347 394 1
44 59 1
149 169 1
161 287 1
245 319 1
249 341 1
254 344 1
36 114 1
28 107 1
33 72 1
161 241 1
171 214 1
196 240 1
212 333 1
337 431 1
1 72 1
347 386 1
165 267 1
187 235 1
237 344 1
348 362 1
156 233 1
117 172 1
144 154 1
179 257 1
189 253 1
189 267 1
16 144 1
17 83 1
44 66 1
78 168 1
169 264 1
214 310 1
12 148 1
253 328 1
259 310 1
268 334 1
220 330 1
157 212 1
164 231 1
169 203 1
212 323 1
252 308 1
58 192 1
159 291 1
163 211 1
175 264 1
202 338 1
249 315 1
275 347 1
313 395 1
20 85 1
108 166 1
185 257 1
325 405 1
337 354 1
105 168 1
44 128 1
186 256 1
220 342 1
240 307 1
30 132 1
24 122 1
124 180 1
134 160 1
160 212 1
172 221 1
215 324 1
249 337 1
2 51 1
315 417 1
328 393 1
341 423 1
288 343 1
177 208 1
179 241 1
198 246 1
212 320 1
303 389 1
111 168 1
93 190 1
224 340 1
287 328 1
43 99 1
35 104 1
45 81 1
58 157 1
67 185 1
238 333 1
244 336 1
332 373 1
31 125 1
338 355 1
37 116 1
82 166 1
217 335 1
303 379 1
313 368 1
349 436 1
2 144 1
27 92 1
31 66 1
152 285 1
221 327 1
241 304 1
265 306 1
328 370 1
16 119 1
341 394 1
243 329 1
252 317 1
256 343 1
269 336 1
343 386 1
229 305 1
53 168 1
186 270 1
2 95 1
4 143 1
18 123 1
23 57 1
158 203 1
3 88 1
12 133 1
105 197 1
160 296 1
171 229 1
295 310 1
320 360 1
8 100 1
19 128 1
111 195 1
139 184 1
162 260 1
171 298 1
191 298 1
198 272 1
14 74 1
286 338 1
256 319 1
36 117 1
58 194 1
67 150 1
89 165 1
159 232 1
177 218 1
204 326 1
10 57 1
229 301 1
15 112 1
18 124 1
19 83 1
82 152 1
104 185 1
12 109 1
32 76 1
170 274 1
214 346 1
299 338 1
9 132 1
48 83 1
49 98 1
52 189 1
104 191 1
135 184 1
155 267 1
225 327 1
44 112 1
286 326 1
233 325 1
77 150 1
127 155 1
152 215 1
165 228 1
224 301 1
294 311 1
342 369 1
63 171 1
74 177 1
80 174 1
175 289 1
